PID,word_type,voice,hits,total,hit_rate,fa_rate,cms,wr_accuracy,ir_rt_mean,ir_rt_median,wr_rt_mean,wr_rt_median
261,LL,A,6,6,1.0,0.18055555555555555,0.8194444444444444,0.6666666666666666,1427.8333333333333,1475.0,903.6666666666666,621.0
261,LL,P,6,6,1.0,0.18055555555555555,0.8194444444444444,0.8333333333333334,1563.6666666666667,1522.0,636.6666666666666,537.0
262,HH,A,6,6,1.0,0.041666666666666664,0.9583333333333334,0.5,1992.8333333333333,2199.0,733.0,510.5
262,HH,P,6,6,1.0,0.041666666666666664,0.9583333333333334,0.8333333333333334,2184.1666666666665,1959.0,471.0,383.5
262,HL,A,3,6,0.5,0.041666666666666664,0.4583333333333333,1.0,2269.0,2208.0,378.0,295.0
262,HL,P,5,6,0.8333333333333334,0.041666666666666664,0.7916666666666667,0.8,2451.0,2569.0,1823.0,1021.0
262,LH,A,6,6,1.0,0.041666666666666664,0.9583333333333334,0.8333333333333334,1743.6666666666667,1453.0,655.0,306.5
262,LH,P,6,6,1.0,0.041666666666666664,0.9583333333333334,0.8333333333333334,1897.1666666666667,2103.0,365.1666666666667,303.0
262,LL,A,2,6,0.3333333333333333,0.041666666666666664,0.29166666666666663,1.0,1545.5,1545.5,287.5,287.5
262,LL,P,5,6,0.8333333333333334,0.041666666666666664,0.7916666666666667,0.6,2621.2,2579.0,1172.4,474.0
263,HH,A,5,6,0.8333333333333334,0.11805555555555555,0.7152777777777778,0.4,2173.2,2038.0,794.0,736.0
263,HH,P,5,6,0.8333333333333334,0.11805555555555555,0.7152777777777778,0.6,1790.8,1870.0,406.4,455.0
263,HL,A,3,6,0.5,0.11805555555555555,0.3819444444444444,0.3333333333333333,1892.0,1673.0,1252.6666666666667,1023.0
263,HL,P,3,6,0.5,0.11805555555555555,0.3819444444444444,1.0,2192.0,1876.0,924.6666666666666,1152.0
263,LH,A,4,6,0.6666666666666666,0.11805555555555555,0.548611111111111,0.5,1569.0,1528.5,733.5,407.0
